"indicator","País__ESTANDAR","Años","valor","unit","notes_ids","source_id"
"Variación de temperatura media","América Central","1961","-0.14","Grados celsius","","651"
"Variación de temperatura media","América Central","1962","0.08","Grados celsius","","651"
"Variación de temperatura media","América Central","1963","0.14","Grados celsius","","651"
"Variación de temperatura media","América Central","1964","-0.26","Grados celsius","","651"
"Variación de temperatura media","América Central","1965","-0.07","Grados celsius","","651"
"Variación de temperatura media","América Central","1966","-0.19","Grados celsius","","651"
"Variación de temperatura media","América Central","1967","-0.15","Grados celsius","","651"
"Variación de temperatura media","América Central","1968","-0.40","Grados celsius","","651"
"Variación de temperatura media","América Central","1969","0.19","Grados celsius","","651"
"Variación de temperatura media","América Central","1970","-0.26","Grados celsius","","651"
"Variación de temperatura media","América Central","1971","-0.09","Grados celsius","","651"
"Variación de temperatura media","América Central","1972","0.31","Grados celsius","","651"
"Variación de temperatura media","América Central","1973","-0.03","Grados celsius","","651"
"Variación de temperatura media","América Central","1974","-0.11","Grados celsius","","651"
"Variación de temperatura media","América Central","1975","-0.25","Grados celsius","","651"
"Variación de temperatura media","América Central","1976","-0.40","Grados celsius","","651"
"Variación de temperatura media","América Central","1977","0.09","Grados celsius","","651"
"Variación de temperatura media","América Central","1978","0.20","Grados celsius","","651"
"Variación de temperatura media","América Central","1979","0.04","Grados celsius","","651"
"Variación de temperatura media","América Central","1980","0.42","Grados celsius","","651"
"Variación de temperatura media","América Central","1981","0.17","Grados celsius","","651"
"Variación de temperatura media","América Central","1982","0.57","Grados celsius","","651"
"Variación de temperatura media","América Central","1983","0.18","Grados celsius","","651"
"Variación de temperatura media","América Central","1984","-0.06","Grados celsius","","651"
"Variación de temperatura media","América Central","1985","0.09","Grados celsius","","651"
"Variación de temperatura media","América Central","1986","0.25","Grados celsius","","651"
"Variación de temperatura media","América Central","1987","-0.01","Grados celsius","","651"
"Variación de temperatura media","América Central","1988","0.21","Grados celsius","","651"
"Variación de temperatura media","América Central","1989","0.40","Grados celsius","","651"
"Variación de temperatura media","América Central","1990","0.27","Grados celsius","","651"
"Variación de temperatura media","América Central","1991","0.31","Grados celsius","","651"
"Variación de temperatura media","América Central","1992","0.15","Grados celsius","","651"
"Variación de temperatura media","América Central","1993","0.31","Grados celsius","","651"
"Variación de temperatura media","América Central","1994","0.67","Grados celsius","","651"
"Variación de temperatura media","América Central","1995","0.77","Grados celsius","","651"
"Variación de temperatura media","América Central","1996","0.43","Grados celsius","","651"
"Variación de temperatura media","América Central","1997","0.51","Grados celsius","","651"
"Variación de temperatura media","América Central","1998","0.75","Grados celsius","","651"
"Variación de temperatura media","América Central","1999","0.51","Grados celsius","","651"
"Variación de temperatura media","América Central","2000","0.48","Grados celsius","","651"
"Variación de temperatura media","América Central","2001","0.49","Grados celsius","","651"
"Variación de temperatura media","América Central","2002","0.70","Grados celsius","","651"
"Variación de temperatura media","América Central","2003","0.84","Grados celsius","","651"
"Variación de temperatura media","América Central","2004","0.40","Grados celsius","","651"
"Variación de temperatura media","América Central","2005","0.77","Grados celsius","","651"
"Variación de temperatura media","América Central","2006","0.85","Grados celsius","","651"
"Variación de temperatura media","América Central","2007","0.52","Grados celsius","","651"
"Variación de temperatura media","América Central","2008","0.49","Grados celsius","","651"
"Variación de temperatura media","América Central","2009","0.97","Grados celsius","","651"
"Variación de temperatura media","América Central","2010","0.36","Grados celsius","","651"
"Variación de temperatura media","América Central","2011","0.87","Grados celsius","","651"
"Variación de temperatura media","América Central","2012","0.82","Grados celsius","","651"
"Variación de temperatura media","América Central","2013","0.73","Grados celsius","","651"
"Variación de temperatura media","América Central","2014","0.80","Grados celsius","","651"
"Variación de temperatura media","América Central","2015","1.06","Grados celsius","","651"
"Variación de temperatura media","América Central","2016","1.27","Grados celsius","","651"
"Variación de temperatura media","América Central","2017","1.42","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1961","0.12","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1962","-0.14","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1963","0.15","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1964","-0.21","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1965","-0.01","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1966","-0.00","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1967","-0.01","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1968","-0.17","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1969","0.34","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1970","0.17","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1971","-0.28","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1972","0.08","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1973","0.23","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1974","-0.22","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1975","-0.16","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1976","-0.23","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1977","0.29","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1978","0.14","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1979","0.12","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1980","0.33","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1981","0.22","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1982","0.28","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1983","0.46","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1984","0.14","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1985","0.13","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1986","0.27","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1987","0.64","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1988","0.29","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1989","0.18","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1990","0.38","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1991","0.42","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1992","0.29","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1993","0.39","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1994","0.53","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1995","0.63","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1996","0.41","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1997","0.74","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1998","1.00","Grados celsius","","651"
"Variación de temperatura media","América del Sur","1999","0.36","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2000","0.29","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2001","0.61","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2002","0.81","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2003","0.81","Grados celsius","","651"
"Variación de temperatura media","América del Sur","2004","0.70","Grados celsius","","651"
