indicator,País__ESTANDAR,Años__ESTANDAR,value,unit,notes_ids,source_id
Variación de temperatura media,El Salvador,1961,-0.15,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1962,-0.32,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1963,-0.24,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1964,-0.1,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1965,-0.13,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1966,0.06,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1967,-0.46,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1968,-0.34,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1969,0.27,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1970,-0.03,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1971,-0.25,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1972,0.43,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1973,0.45,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1974,-0.26,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1975,0.11,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1976,-0.15,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1977,0.53,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1978,0.27,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1979,0.6,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1980,0.58,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1981,0.21,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1982,0.5,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1983,0.79,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1984,0.11,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1985,0.25,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1986,0.27,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1987,0.78,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1988,0.59,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1989,0.29,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1990,0.53,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1991,0.59,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1992,0.59,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1993,0.35,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1994,0.7,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1995,0.66,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1997,0.93,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2000,0.43,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2001,0.67,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2002,0.89,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2003,1.08,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2004,0.83,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2005,0.64,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2006,0.64,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2007,0.51,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2008,0.27,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2009,0.86,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2010,0.57,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2011,0.56,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2012,0.7,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2013,0.7,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2014,0.74,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2015,1.38,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2016,1.48,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2017,0.94,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2018,0.98,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1996,0.23,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1998,1.0,Grados celsius,,651.0
Variación de temperatura media,El Salvador,1999,0.45,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2019,1.16,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2020,1.64,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2021,1.22,Grados celsius,,651.0
Variación de temperatura media,El Salvador,2022,0.93,Grados celsius,,
