"indicator","País__ESTANDAR","Años__ESTANDAR","value","unit","notes_ids","source_id"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1990","2443","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1991","2437","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1992","2565","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1993","2676","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1994","2771","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1995","2874","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1996","2873","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1997","2940","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1998","2997","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","1999","3041","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2000","3058","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2001","3069","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2002","3106","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2003","3146","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2004","3170","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2005","3254","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2006","3398","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2007","3455","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2008","3515","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2009","3428","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2010","3488","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2011","3607","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2012","3694","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2013","3762","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2014","3811","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2015","3889","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2016","3976","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2017","4054","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2018","4146","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2019","4244","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2020","3902","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2021","4351","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2022","4457","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","El Salvador","2023","4593","Dólares por habitante","12080","1753"
