"indicator","País__ESTANDAR","Años__ESTANDAR","value","unit","notes_ids","source_id"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2007","3763","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2008","3822","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2009","3771","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2010","3801","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2011","3892","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2012","3936","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2013","3996","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2014","4096","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2015","4187","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2016","4223","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2017","4277","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2018","4352","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2019","4459","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2020","4314","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2021","4596","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2022","4726","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2023","4825","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1993","3041","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1994","3081","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1995","3150","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1996","3161","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1997","3217","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1998","3293","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1999","3336","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2000","3377","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2001","3377","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2002","3440","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2003","3451","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2004","3475","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2005","3505","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","2006","3624","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1990","2914","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1991","2941","Dólares por habitante","12080","1753"
"Producto interno bruto (PIB) total anual por habitante a precios constantes en dólares","Guatemala","1992","3004","Dólares por habitante","12080","1753"
