"indicator","País__ESTANDAR","Bianual","value","unit","notes_ids","source_id"
"Número de personas en subalimentación.","El Salvador","1999-2001","647.5","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2000-2002","551.1","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2001-2003","530.5","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2002-2004","557.4","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2003-2005","602.3","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2004-2006","635.4","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2005-2007","656.5","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2006-2008","671.6","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2007-2009","699.0","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2008-2010","732.8","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2009-2011","766.8","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2010-2012","776.3","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2011-2013","761.1","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2012-2014","720.6","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2013-2015","667.3","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2014-2016","619.9","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2015-2017","591.2","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2016-2018","575.0","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","El Salvador","2017-2019","571.5","Número absoluto, medida en miles de personas","8605","1371"
