"indicator","País__ESTANDAR","Bianual","value","unit","notes_ids","source_id"
"Número de personas en subalimentación.","Guatemala","1999-2001","2389.1","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2000-2002","2159.0","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2001-2003","2002.7","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2002-2004","1975.3","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2003-2005","2022.1","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2004-2006","2069.3","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2005-2007","2116.9","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2006-2008","2151.1","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2007-2009","2227.2","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2008-2010","2247.9","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2009-2011","2311.8","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2010-2012","2362.1","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2011-2013","2489.3","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2012-2014","2542.2","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2013-2015","2547.8","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2014-2016","2486.7","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2015-2017","2487.5","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2016-2018","2571.1","Número absoluto, medida en miles de personas","8605","1371"
"Número de personas en subalimentación.","Guatemala","2017-2019","2776.9","Número absoluto, medida en miles de personas","8605","1371"
